"database_identifier"	"chemical_formula"	"smiles"	"InChI Code"	"metabolite_identification"	"HMDB_ID"	"PubChem_CID"	"KEGG_ID"	"METLIN_ID"	"synth_XOM_001"	"synth_XOM_002"	"synth_XOM_003"	"synth_XOM_004"	"synth_XOM_005"	"synth_XOM_006"	"synth_XOM_007"	"synth_XOM_008"	"synth_XOM_009"	"synth_XOM_010"	"synth_XOM_011"	"synth_XOM_012"	"synth_XOM_013"	"synth_XOM_014"	"synth_XOM_015"	"synth_XOM_016"	"synth_XOM_017"	"synth_XOM_018"	"synth_XOM_019"	"synth_XOM_020"	"synth_XOM_021"	"synth_XOM_022"	"synth_XOM_023"	"synth_XOM_024"	"synth_XOM_025"	"synth_XOM_026"	"synth_XOM_027"	"synth_XOM_028"	"synth_XOM_029"	"synth_XOM_030"	"synth_XOM_031"	"synth_XOM_032"	"synth_XOM_033"	"synth_XOM_034"	"synth_XOM_035"	"synth_XOM_036"	"synth_XOM_037"	"synth_XOM_038"	"synth_XOM_039"	"synth_XOM_040"	"synth_XOM_041"	"synth_XOM_042"	"synth_XOM_043"	"synth_XOM_044"	"synth_XOM_045"	"synth_XOM_046"	"synth_XOM_047"	"synth_XOM_048"	"synth_XOM_049"	"synth_XOM_050"	"synth_XOM_051"	"synth_XOM_052"	"synth_XOM_053"	"synth_XOM_054"	"synth_XOM_055"	"synth_XOM_056"	"synth_XOM_057"	"synth_XOM_058"	"synth_XOM_059"	"synth_XOM_060"	"synth_XOM_061"	"synth_XOM_062"	"synth_XOM_063"	"synth_XOM_064"	"synth_XOM_065"	"synth_XOM_066"	"synth_XOM_067"	"synth_XOM_068"	"synth_XOM_069"	"synth_XOM_070"	"synth_XOM_071"	"synth_XOM_072"	"synth_XOM_073"	"synth_XOM_074"	"synth_XOM_075"	"synth_XOM_076"	"synth_XOM_077"	"synth_XOM_078"	"synth_XOM_079"	"synth_XOM_080"	"synth_XOM_081"	"synth_XOM_082"	"synth_XOM_083"	"synth_XOM_084"	"synth_XOM_085"	"synth_XOM_086"	"synth_XOM_087"	"synth_XOM_088"	"synth_XOM_089"	"synth_XOM_090"	"synth_XOM_091"	"synth_XOM_092"	"synth_XOM_093"	"synth_XOM_094"	"synth_XOM_095"	"synth_XOM_096"	"synth_XOM_097"	"synth_XOM_098"	"synth_XOM_099"	"synth_XOM_100"
"CHEBI:1148"	"NA"	"CCC(O)C(O)=O"	"InChI=1S/C4H8O3/c1-2-3(5)4(6)7/h3,5H,2H2,1H3,(H,6,7)"	"2-hydroxybutyric acid"	"HMDB0000008"	"11266"	"C05984"	"3783"	"0.054925628"	"0.053028136"	"0.045669945"	"0.067344963"	"0.083437505"	"0.112863109"	"0.044903879"	"0.150382516"	"0.058672032"	"0.067545944"	"0.096313917"	"0.048648135"	"0.139894814"	"0.045287311"	"0.070809019"	"0.118868151"	"0.081515133"	"0.093837444"	"0.085311006"	"0.031912216"	"0.071944187"	"0.0827574"	"0.096417321"	"0.028357959"	"0.068534164"	"0.160866129"	"0.090849236"	"0.161230167"	"0.087738345"	"0.038659432"	"0.055190046"	"0.160866129"	"0.074050567"	"0.045287311"	"0.081515133"	"0.074187467"	"0.059929211"	"0.1048229"	"0.079385624"	"0.08494036"	"0.034353356"	"0.065488372"	"0.039124729"	"0.026653474"	"0.074293943"	"0.043593195"	"0.030032009"	"0.068878396"	"0.155048182"	"0.171859987"	"0.038042375"	"0.05592927"	"0.031694626"	"0.052582282"	"0.086827618"	"0.235285224"	"0.054339779"	"0.096904437"	"0.065364914"	"0.1515458"	"0.040237218"	"0.029292336"	"0.088116431"	"0.115832477"	"0.039206583"	"0.108145318"	"0.093650272"	"0.071269404"	"0.087978938"	"0.042840761"	"0.060707739"	"0.179875494"	"0.041429106"	"0.112904047"	"0.080996187"	"0.051851736"	"0.145389019"	"0.038109505"	"0.045634617"	"0.043810115"	"0.074652149"	"0.084726642"	"0.049585053"	"0.035704754"	"0.173223342"	"0.038281175"	"0.038632225"	"0.03023753"	"0.030889286"	"0.056594382"	"0.066298353"	"0.040422356"	"0.071727538"	"0.037299108"	"0.029050944"	"0.091064191"	"0.051055644"	"0.063743734"	"0.098401553"	"0.138022595"
"CHEBI:30832"	"NA"	"OC(=O)CCCCC(O)=O"	"InChI=1S/C6H10O4/c7-5(8)3-1-2-4-6(9)10/h1-4H2,(H,7,8)(H,9,10)"	"Adipic acid"	"HMDB0000448"	"196"	"C06104"	"115"	"0.10762317"	"0.03885146"	"0.04377406"	"0.31000137"	"0.15090729"	"0.09395572"	"0.06202123"	"0.15331704"	"0.21563981"	"0.07919113"	"0.04928013"	"0.12699915"	"0.07156442"	"0.3229513"	"0.1744677"	"0.12379451"	"0.08722144"	"0.44187144"	"0.3783603"	"0.50759148"	"0.20820348"	"0.32951436"	"0.12838492"	"0.11691317"	"0.07860517"	"0.07991871"	"0.02908557"	"0.34687089"	"0.0767804"	"0.19527447"	"0.19011968"	"0.05892622"	"0.12670847"	"0.08960663"	"0.29574599"	"0.17456509"	"0.14869026"	"0.08437904"	"0.15651284"	"0.06457612"	"0.08771318"	"0.08289994"	"0.11344381"	"0.1151809"	"0.27283826"	"0.27014343"	"0.06773159"	"0.19057143"	"0.07626057"	"0.13246676"	"0.09514487"	"0.14174568"	"0.29771359"	"0.07197641"	"0.23808165"	"0.0686719"	"0.09241104"	"0.29145812"	"0.08401545"	"0.05282532"	"0.07723905"	"0.22615793"	"0.17792107"	"0.07852338"	"0.08836098"	"1.16712109"	"0.24752727"	"0.1890824"	"0.17241843"	"0.10708785"	"0.30716597"	"0.05718168"	"0.09141969"	"0.07662637"	"0.11677861"	"0.19485135"	"0.20214697"	"0.08398571"	"0.75448636"	"0.20416494"	"0.08830303"	"0.12113437"	"0.19057143"	"0.26682849"	"0.27761959"	"0.08984277"	"0.06979945"	"0.19995322"	"0.35951526"	"0.05326981"	"0.11896034"	"0.31289371"	"0.17102842"	"0.04928687"	"0.16715663"	"0.30716597"	"0.55662063"	"0.44187144"	"0.06747579"	"0.07852338"
"CHEBI:30769"	"NA"	"OC(=O)CC(O)(CC(O)=O)C(O)=O"	"InChI=1S/C6H8O7/c7-3(8)1-6(13,5(11)12)2-4(9)10/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)"	"Citric acid"	"HMDB0000094"	"311"	"C00158"	"124"	"14.037584"	"5.399498"	"8.940999"	"6.221314"	"13.094937"	"8.711421"	"13.716436"	"5.83485"	"28.543665"	"12.146839"	"7.641609"	"10.534865"	"13.630546"	"7.813381"	"9.943806"	"9.002544"	"10.279353"	"13.351117"	"13.785381"	"7.205864"	"11.491397"	"13.134114"	"11.975859"	"17.402328"	"13.638252"	"9.774987"	"13.309195"	"11.890312"	"5.696301"	"11.916447"	"8.402219"	"5.783924"	"5.193494"	"10.598818"	"9.870208"	"10.659701"	"4.224689"	"8.720421"	"4.153881"	"18.6145"	"10.191865"	"3.893437"	"10.854786"	"7.716176"	"4.224689"	"5.344258"	"10.533932"	"18.6145"	"14.610212"	"5.070574"	"12.974132"	"11.346013"	"12.146839"	"15.865232"	"5.746425"	"10.403898"	"11.299492"	"4.820758"	"7.710144"	"13.325547"	"8.884289"	"15.177644"	"8.674082"	"3.869528"	"6.822687"	"12.591526"	"12.660688"	"9.041617"	"18.753796"	"12.472611"	"8.209032"	"7.407329"	"8.824788"	"5.531324"	"7.173255"	"8.264291"	"5.513259"	"9.019197"	"12.75494"	"17.055211"	"8.250667"	"16.520219"	"5.302485"	"8.587612"	"9.969612"	"8.023844"	"9.870208"	"14.295765"	"8.048519"	"6.712547"	"19.850424"	"8.287603"	"8.575364"	"4.280208"	"2.896856"	"8.775381"	"5.73042"	"5.73042"	"10.081552"	"10.191865"
"CHEBI:17859"	"NA"	"OC(=O)CCCC(O)=O"	"InChI=1S/C5H8O4/c6-4(7)2-1-3-5(8)9/h1-3H2,(H,6,7)(H,8,9)"	"Glutaric acid"	"HMDB0000661"	"743"	"C00489"	"3254"	"0.023082915"	"0.074540256"	"0.034035889"	"0.036544202"	"0.061715015"	"0.019946484"	"0.030959295"	"0.016278782"	"0.111691567"	"0.042808493"	"0.048952432"	"0.055269793"	"0.060985787"	"0.0921053"	"0.03733788"	"0.044992167"	"0.026155933"	"0.047947517"	"0.018588161"	"0.072217386"	"0.058737175"	"0.042458048"	"0.037908415"	"0.053116707"	"0.060679662"	"0.092131546"	"0.088415447"	"0.024963367"	"0.019957492"	"0.122977802"	"0.076006803"	"0.051512274"	"0.02396689"	"0.014256477"	"0.112005546"	"0.019353549"	"0.08004004"	"0.040061856"	"0.043058894"	"0.087991834"	"0.016278782"	"0.053260953"	"0.03389423"	"0.036475738"	"0.039138204"	"0.037769237"	"0.047285592"	"0.030933505"	"0.046069575"	"0.035173222"	"0.043058894"	"0.037769237"	"0.030752632"	"0.080781139"	"0.030973509"	"0.049714492"	"0.191521417"	"0.121514042"	"0.032695939"	"0.034411634"	"0.124186024"	"0.042327389"	"0.023848354"	"0.075211595"	"0.054862237"	"0.0350414"	"0.062715797"	"0.021997"	"0.067568702"	"0.045942665"	"0.032919162"	"0.013547727"	"0.024527691"	"0.048015163"	"0.042458048"	"0.020256612"	"0.138047878"	"0.034964442"	"0.026583151"	"0.07031116"	"0.065037303"	"0.052845687"	"0.008695056"	"0.069653797"	"0.068009829"	"0.102641868"	"0.304385159"	"0.023456436"	"0.072056907"	"0.055496583"	"0.043823387"	"0.028302003"	"0.055151138"	"0.059895685"	"0.052616867"	"0.068847973"	"0.049898911"	"0.058140066"	"0.018003676"	"0.03455827"
"CHEBI:17497"	"NA"	"OCC(O)=O"	"InChI=1S/C2H4O3/c3-1-2(4)5/h3H,1H2,(H,4,5)"	"Glycolic acid"	"HMDB0000115"	"757"	"C03547"	"3219"	"0.45825761"	"0.7158971"	"1.23931253"	"0.41842628"	"0.38092387"	"1.44120441"	"1.21355346"	"0.98200793"	"0.50928733"	"0.40059437"	"0.50452416"	"0.4808175"	"0.32374215"	"1.16508833"	"0.46934923"	"0.46025799"	"0.42634987"	"0.32027479"	"0.36906558"	"0.38314932"	"0.10773776"	"0.92888748"	"1.16831711"	"0.23301277"	"0.20671693"	"1.33343288"	"0.71569453"	"0.41863299"	"0.5756905"	"0.85372095"	"0.84046514"	"0.50452416"	"1.44120441"	"0.89963338"	"0.36253783"	"0.83941091"	"1.23931253"	"0.84262009"	"0.81283978"	"0.72097064"	"0.83196979"	"0.4322938"	"0.69722698"	"0.44066311"	"0.47424187"	"0.84106594"	"0.64686566"	"0.76109008"	"0.58644563"	"0.54939118"	"0.41842628"	"0.64768674"	"0.46934923"	"0.62496416"	"0.3811573"	"0.64768674"	"0.64275132"	"0.88870099"	"0.37319249"	"0.34885076"	"1.10636742"	"0.9296331"	"0.88050746"	"0.27486901"	"1.05588447"	"0.54819097"	"0.81476066"	"0.86778101"	"0.26674922"	"0.28631515"	"1.41611321"	"0.45591911"	"0.7117532"	"1.32469405"	"0.36348566"	"0.58644563"	"0.63022872"	"0.88868673"	"1.08276735"	"0.8815128"	"0.26674922"	"1.10636742"	"0.41312505"	"0.36769316"	"0.99807365"	"1.88704321"	"0.91218994"	"1.04896203"	"0.16158365"	"0.66245272"	"0.8815128"	"0.59834346"	"0.33016945"	"0.69302079"	"0.73893549"	"0.52475798"	"0.4728867"	"1.51953373"	"0.54321687"	"0.6341107"
"CHEBI:6650"	"NA"	"OC(CC(O)=O)C(O)=O"	"InChI=1S/C4H6O5/c5-2(4(8)9)1-3(6)7/h2,5H,1H2,(H,6,7)(H,8,9)"	"Malic acid"	"HMDB0000744"	"525"	"C03668"	"118"	"0.012488904"	"0.034422758"	"0.015398492"	"0.023926116"	"0.008926804"	"0.017934242"	"0.037790246"	"0.07395736"	"0.010134492"	"0.063443697"	"0.091915787"	"0.050271616"	"0.009155819"	"0.018651719"	"0.012202697"	"0.025677831"	"0.015176825"	"0.046458003"	"0.018953317"	"0.030754526"	"0.034558353"	"0.024329448"	"0.008285608"	"0.016644873"	"0.013407767"	"0.012294724"	"0.020672934"	"0.030975883"	"0.047051401"	"0.065650747"	"0.018080519"	"0.03029271"	"0.038883448"	"0.020585737"	"0.011899647"	"0.012539177"	"0.022315552"	"0.010794135"	"0.01401586"	"0.023719209"	"0.018651719"	"0.023702828"	"0.01171155"	"0.018088365"	"0.049723396"	"0.044373518"	"0.037081986"	"0.050182222"	"0.018788212"	"0.027045178"	"0.010839935"	"0.038789137"	"0.012539177"	"0.019442059"	"0.02543252"	"0.033008102"	"0.03122263"	"0.057663516"	"0.011642721"	"0.012323218"	"0.012923241"	"0.011581222"	"0.01690193"	"0.061903547"	"0.052341833"	"0.01690193"	"0.024562216"	"0.015609563"	"0.014761232"	"0.024937849"	"0.011966895"	"0.072447858"	"0.020977992"	"0.012539177"	"0.01570133"	"0.016565351"	"0.013927494"	"0.029222027"	"0.031920194"	"0.011758634"	"0.012084254"	"0.018894018"	"0.021275695"	"0.021119243"	"0.03197994"	"0.067286411"	"0.021505415"	"0.022006042"	"0.028201877"	"0.016528046"	"0.005365789"	"0.014212188"	"0.010516398"	"0.032362104"	"0.006788917"	"0.014821468"	"0.00966843"	"0.013545507"	"0.016512707"	"0.014212188"
"CHEBI:15741"	"NA"	"OC(=O)CCC(O)=O"	"InChI=1S/C4H6O4/c5-3(6)1-2-4(7)8/h1-2H2,(H,5,6)(H,7,8)"	"Succinic acid"	"HMDB0000254"	"1110"	"C00042"	"114"	"0.28753493"	"0.34853103"	"0.8799105"	"0.83875512"	"0.57536703"	"1.7469699"	"0.74717381"	"0.62618063"	"1.19183462"	"0.49399093"	"NA"	"0.82119404"	"0.5858013"	"0.80873569"	"0.21710061"	"1.7469699"	"0.30417095"	"0.27075016"	"0.45853614"	"0.72268468"	"0.33600087"	"0.56232542"	"1.03343595"	"0.33185864"	"0.38277504"	"0.66236041"	"0.21198951"	"0.80843845"	"0.75246891"	"1.23241267"	"0.46536431"	"1.08258082"	"0.99061358"	"0.38752504"	"0.40734188"	"1.1431561"	"0.35363926"	"1.01927423"	"0.82464998"	"0.97186803"	"0.44831094"	"0.40501037"	"0.65852908"	"0.75131953"	"0.66899086"	"0.90813037"	"0.85433171"	"0.6623014"	"0.3731382"	"0.46397811"	"0.34619044"	"0.46789814"	"0.75246891"	"0.68858807"	"0.50674743"	"1.08178297"	"0.14557601"	"0.29628828"	"0.52819071"	"0.56521613"	"0.31635634"	"0.51844652"	"0.68090083"	"0.44395823"	"0.68027448"	"0.32094224"	"0.27344003"	"0.89924853"	"0.85409721"	"0.68407405"	"0.30473565"	"0.41982557"	"0.40765813"	"0.81914914"	"0.59003684"	"0.51360136"	"0.44711752"	"0.73357986"	"0.43534262"	"0.19870675"	"1.57290292"	"0.70093072"	"0.2578083"	"0.57536703"	"0.2999378"	"0.45102199"	"0.27856696"	"0.72363205"	"0.64675901"	"1.16501625"	"0.44395823"	"0.38752504"	"0.62986527"	"0.51829883"	"1.01927423"	"0.3142977"	"0.54425419"	"0.65361132"	"0.57070363"	"0.75378391"
"CHEBI:18012"	"NA"	"OC(=O)\C=C\C(O)=O"	"InChI=1S/C4H4O4/c5-3(6)1-2-4(7)8/h1-2H,(H,5,6)(H,7,8)/b2-1+"	"Fumaric acid"	"HMDB0000134"	"444972"	"C00122"	"3242"	"0.03933036"	"0.04293163"	"0.05249845"	"0.03494303"	"0.04014914"	"0.05868301"	"0.03707847"	"0.03569559"	"0.06373264"	"0.03790329"	"0.04358377"	"0.02374409"	"0.06093649"	"0.06293537"	"0.0365324"	"0.06453929"	"0.03358233"	"0.04995267"	"0.05893735"	"0.06899081"	"0.03322854"	"0.04778967"	"0.03634308"	"0.0394145"	"0.02976759"	"0.04749734"	"0.05555808"	"0.02645606"	"0.04938838"	"0.0656545"	"0.04535879"	"0.14868348"	"0.03475143"	"0.02898507"	"0.0483723"	"0.08447253"	"0.03149406"	"0.03427945"	"0.04974505"	"0.03946217"	"0.05449209"	"0.10348579"	"0.03072791"	"0.05030272"	"0.03125029"	"0.02979794"	"0.03015754"	"0.06064404"	"0.06783895"	"0.0352645"	"0.05867842"	"0.04951416"	"0.04390633"	"0.06064404"	"0.03171836"	"0.05078479"	"0.03933036"	"0.03682797"	"0.02838391"	"0.07052277"	"0.05086843"	"0.03279793"	"0.03682797"	"0.03209353"	"0.05147336"	"0.04112596"	"0.0296117"	"0.04212954"	"0.03934146"	"0.04381933"	"0.04282749"	"0.05882381"	"0.04386122"	"0.04658652"	"0.05546259"	"0.03102729"	"0.04059142"	"0.05659963"	"0.04072602"	"0.04497778"	"0.04431496"	"0.05729337"	"0.0785557"	"0.03353752"	"0.05873251"	"0.03790329"	"0.04595696"	"0.02932905"	"0.08521821"	"0.03541352"	"0.06453929"	"0.04633401"	"0.0505924"	"0.03685561"	"0.06736868"	"0.02658956"	"0.04072602"	"0.03890852"	"0.03200212"	"0.03418317"
"CHEBI:30860"	"NA"	"CC(C(O)=O)C(O)=O"	"InChI=1S/C4H6O4/c1-2(3(5)6)4(7)8/h2H,1H3,(H,5,6)(H,7,8)"	"Methylmalonic acid"	"HMDB0000202"	"487"	"C02170"	"3712"	"0.010581929"	"0.077541622"	"0.031387798"	"0.057480985"	"0.036214381"	"0.073338228"	"0.021581931"	"0.075726331"	"0.044523527"	"0.058555542"	"0.046582023"	"0.021283919"	"0.009352781"	"0.044449012"	"0.043006703"	"0.0464195"	"0.064996875"	"0.031243918"	"NA"	"0.024696951"	"0.062257152"	"0.030426716"	"0.024842796"	"0.038684895"	"0.004547695"	"0.010486098"	"0.054059424"	"0.054234545"	"0.011051833"	"0.024348465"	"0.025805638"	"0.076353991"	"0.049179053"	"0.02761344"	"0.035680719"	"0.02923802"	"0.028611817"	"0.029711186"	"0.017559607"	"0.028256545"	"0.045173023"	"0.032033912"	"0.047753953"	"0.033995021"	"0.047377752"	"0.03146298"	"0.022977066"	"0.022070491"	"0.062602168"	"0.038616351"	"0.032393243"	"0.036283695"	"0.040866117"	"0.014732867"	"0.026692741"	"0.056112297"	"0.026692741"	"0.022501436"	"0.030009789"	"0.064996875"	"0.045940756"	"0.031515186"	"0.112804274"	"0.034907222"	"0.0257336"	"0.041154275"	"0.050105792"	"0.052074739"	"0.031551581"	"0.057095349"	"0.063092866"	"0.040072367"	"0.029092786"	"0.03713531"	"0.061284339"	"0.024220474"	"0.036646245"	"0.021503996"	"0.042933232"	"0.015689835"	"0.024448212"	"0.020876877"	"0.061979956"	"0.024720764"	"0.032913922"	"0.040305231"	"0.022861122"	"0.025619351"	"0.019825258"	"0.009050817"	"0.052074739"	"0.029475908"	"0.028923091"	"0.033652569"	"0.026709583"	"0.047801601"	"0.045723592"	"0.0889289"	"0.017100291"	"0.019367929"
"CHEBI:18183"	"NA"	"OC(=O)[C@@H]1CCC(=O)N1"	"InChI=1S/C5H7NO3/c7-4-2-1-3(6-4)5(8)9/h3H,1-2H2,(H,6,7)(H,8,9)/t3-/m0/s1"	"Pyroglutamic acid"	"HMDB0000267"	"7405"	"C01879"	"3251"	"3.8333376"	"3.5176578"	"1.8757601"	"2.2404294"	"3.8131989"	"1.7847636"	"0.7665946"	"3.1952942"	"1.7056033"	"2.260046"	"1.8875796"	"3.8306303"	"2.8686215"	"2.1530811"	"3.3935835"	"0.7923361"	"0.8046224"	"4.0276359"	"2.041195"	"3.3550309"	"1.1561448"	"2.6144464"	"1.8309169"	"2.2612593"	"2.2612593"	"3.178559"	"3.3688806"	"2.0406629"	"3.8165591"	"3.1143755"	"2.9604814"	"3.1400443"	"0.7405492"	"1.8346362"	"3.8232352"	"3.5443728"	"2.911438"	"1.371138"	"2.2810232"	"0.835219"	"1.218654"	"2.0458421"	"2.5170428"	"4.5499379"	"4.2507454"	"1.007799"	"2.7463688"	"3.0791209"	"2.3172751"	"2.6585045"	"1.7036785"	"1.0404275"	"2.4756359"	"4.5466285"	"3.7095298"	"3.9040287"	"2.9026419"	"2.5646883"	"5.114061"	"2.0171819"	"1.9858214"	"1.371138"	"1.3490196"	"3.2294569"	"2.2185424"	"1.1412585"	"1.9231483"	"2.9604814"	"3.8232352"	"1.4178537"	"0.9171512"	"1.9561442"	"2.0171819"	"1.7964401"	"1.6837237"	"2.5387728"	"0.5899229"	"1.8761103"	"2.2810232"	"2.5600006"	"1.8733294"	"1.1562117"	"2.1578066"	"1.5366883"	"1.8672734"	"2.9524723"	"2.1044699"	"2.4574813"	"1.8148696"	"1.977313"	"1.5211358"	"1.9290624"	"1.1342151"	"3.8677907"	"1.6931603"	"1.9896409"	"1.8985338"	"1.0887776"	"2.3802215"	"1.2926859"
