"database_identifier"	"chemical_formula"	"smiles"	"InChI Code"	"metabolite_identification"	"HMDB_ID"	"PubChem_CID"	"KEGG_ID"	"METLIN_ID"	"synth_XOM_001"	"synth_XOM_002"	"synth_XOM_003"	"synth_XOM_004"	"synth_XOM_005"	"synth_XOM_006"	"synth_XOM_007"	"synth_XOM_008"	"synth_XOM_009"	"synth_XOM_010"	"synth_XOM_011"	"synth_XOM_012"	"synth_XOM_013"	"synth_XOM_014"	"synth_XOM_015"	"synth_XOM_016"	"synth_XOM_017"	"synth_XOM_018"	"synth_XOM_019"	"synth_XOM_020"	"synth_XOM_021"	"synth_XOM_022"	"synth_XOM_023"	"synth_XOM_024"	"synth_XOM_025"	"synth_XOM_026"	"synth_XOM_027"	"synth_XOM_028"	"synth_XOM_029"	"synth_XOM_030"	"synth_XOM_031"	"synth_XOM_032"	"synth_XOM_033"	"synth_XOM_034"	"synth_XOM_035"	"synth_XOM_036"	"synth_XOM_037"	"synth_XOM_038"	"synth_XOM_039"	"synth_XOM_040"	"synth_XOM_041"	"synth_XOM_042"	"synth_XOM_043"	"synth_XOM_044"	"synth_XOM_045"	"synth_XOM_046"	"synth_XOM_047"	"synth_XOM_048"	"synth_XOM_049"	"synth_XOM_050"	"synth_XOM_051"	"synth_XOM_052"	"synth_XOM_053"	"synth_XOM_054"	"synth_XOM_055"	"synth_XOM_056"	"synth_XOM_057"	"synth_XOM_058"	"synth_XOM_059"	"synth_XOM_060"	"synth_XOM_061"	"synth_XOM_062"	"synth_XOM_063"	"synth_XOM_064"	"synth_XOM_065"	"synth_XOM_066"	"synth_XOM_067"	"synth_XOM_068"	"synth_XOM_069"	"synth_XOM_070"	"synth_XOM_071"	"synth_XOM_072"	"synth_XOM_073"	"synth_XOM_074"	"synth_XOM_075"	"synth_XOM_076"	"synth_XOM_077"	"synth_XOM_078"	"synth_XOM_079"	"synth_XOM_080"	"synth_XOM_081"	"synth_XOM_082"	"synth_XOM_083"	"synth_XOM_084"	"synth_XOM_085"	"synth_XOM_086"	"synth_XOM_087"	"synth_XOM_088"	"synth_XOM_089"	"synth_XOM_090"	"synth_XOM_091"	"synth_XOM_092"	"synth_XOM_093"	"synth_XOM_094"	"synth_XOM_095"	"synth_XOM_096"	"synth_XOM_097"	"synth_XOM_098"	"synth_XOM_099"	"synth_XOM_100"
"CHEBI:50599"	"NA"	"CN1C=NC(C[C@H](N)C(O)=O)=C1"	"InChI=1S/C7H11N3O2/c1-10-3-5(9-4-10)2-6(8)7(11)12/h3-4,6H,2,8H2,1H3,(H,11,12)/t6-/m0/s1"	"1-Methylhistidine"	"HMDB0000001"	"92105"	"C01152"	"3741"	"4.9693854"	"8.6249095"	"7.4283377"	"3.94421"	"7.5417512"	"8.0723482"	"2.3451151"	"5.3743056"	"5.50465"	"9.7653541"	"11.6454823"	"8.4536483"	"5.4083415"	"6.586916"	"2.4375939"	"5.9916991"	"5.6627821"	"10.0687545"	"4.1477616"	"5.647056"	"7.93577"	"8.9763203"	"11.0872596"	"6.7153205"	"8.7199413"	"6.4033385"	"3.9774947"	"3.4013052"	"5.6773803"	"4.6673912"	"4.9189181"	"4.3867131"	"4.9210524"	"6.9063576"	"5.2085289"	"1.3788632"	"8.0723482"	"11.5593795"	"8.1162956"	"6.534952"	"8.4436124"	"5.4083415"	"4.6506815"	"9.4637783"	"3.6495051"	"5.4281197"	"8.6840223"	"3.2733247"	"3.0246958"	"9.5735268"	"11.7427254"	"5.7899928"	"9.128493"	"2.2908895"	"2.0188609"	"5.5754964"	"18.6192551"	"5.8959048"	"3.9832168"	"7.4416725"	"3.0493411"	"6.1768412"	"5.9388098"	"4.8840484"	"7.3368148"	"5.4964815"	"5.0020031"	"9.1879441"	"7.5330915"	"8.8387049"	"3.2389305"	"7.539802"	"8.0864996"	"6.4752468"	"4.1919129"	"3.3458731"	"7.8340197"	"10.7382115"	"5.6580974"	"6.5806924"	"4.1547111"	"10.6356834"	"6.9039456"	"3.3978309"	"13.0803009"	"5.8424089"	"11.3211325"	"7.721553"	"5.4257972"	"4.259458"	"9.1365869"	"4.6136258"	"9.5735268"	"10.24407"	"6.1304241"	"1.297674"	"12.8309344"	"5.8938034"	"4.4886771"	"6.1414944"
"CHEBI:742324"	"NA"	"COC1=C(O)C=CC(CCN)=C1"	"InChI=1S/C9H13NO2/c1-12-9-6-7(4-5-10)2-3-8(9)11/h2-3,6,11H,4-5,10H2,1H3"	"3-Methoxytyramine"	"HMDB0000022"	"1669"	"C05587"	"5094"	"0.0134372"	"0.011969202"	"0.009872274"	"0.004111767"	"0.01322968"	"0.015247337"	"0.021486428"	"0.033470016"	"0.011305759"	"0.021398939"	"0.003630092"	"0.026245224"	"0.009057298"	"0.007860046"	"0.026546402"	"0.021368589"	"0.038015908"	"0.019476718"	"0.014179711"	"0.023075488"	"0.011670482"	"0.037560709"	"0.014988402"	"0.024320315"	"0.068392196"	"0.01498811"	"0.025278796"	"0.01117854"	"0.014179711"	"0.029582934"	"0.02001955"	"0.033598212"	"0.031223018"	"0.009482843"	"0.011074776"	"0.008693637"	"0.012533381"	"0.018724438"	"0.02878981"	"0.005425214"	"0.009662223"	"0.037774798"	"0.045888864"	"0.015575852"	"0.01743935"	"0.016601349"	"0.006128415"	"0.013267071"	"0.03225527"	"0.01512214"	"0.01364607"	"0.026780883"	"0.045636723"	"0.007955229"	"0.019919395"	"0.013696331"	"0.029582934"	"0.027032613"	"0.019571083"	"0.027413857"	"0.00983317"	"0.014366552"	"0.017467921"	"0.019625769"	"0.032008269"	"0.003164512"	"0.007102072"	"0.012602573"	"0.015032112"	"0.005368302"	"0.037560709"	"0.016294857"	"0.041554509"	"0.016217021"	"0.019088905"	"0.01135496"	"0.009763688"	"0.012590465"	"0.006795711"	"0.016217021"	"0.009492538"	"0.018289244"	"0.019587005"	"0.007595162"	"0.017324086"	"0.013986218"	"0.025278796"	"0.012058724"	"0.016860345"	"0.050213214"	"0.023075488"	"0.018157453"	"0.020807582"	"0.015247337"	"0.005881593"	"0.014366552"	"0.043604747"	"0.044597961"	"0.010929968"	"0.019416197"
"CHEBI:82913"	"NA"	"COC1=C(O)C=CC(CC(N)C(O)=O)=C1"	"InChI=1S/C10H13NO4/c1-15-9-5-6(2-3-8(9)12)4-7(11)10(13)14/h2-3,5,7,12H,4,11H2,1H3,(H,13,14)"	"3-Methoxytyrosine"	"HMDB0001434"	"9307"	"-"	"-"	"0.02626684"	"0.100558345"	"0.017825419"	"0.063155346"	"0.076452624"	"0.044250614"	"0.009495993"	"0.061966276"	"0.021981235"	"0.036941643"	"0.038284241"	"0.092268648"	"0.052592552"	"0.040133563"	"0.043222603"	"0.024293446"	"0.016894938"	"0.029559202"	"0.040523049"	"0.057082359"	"0.027858243"	"0.055108488"	"0.07871771"	"0.043268728"	"0.031170734"	"0.026642679"	"0.040619327"	"0.053049558"	"0.013414797"	"0.09546734"	"0.020737044"	"0.040555489"	"0.054457069"	"0.029736344"	"0.041148999"	"0.033490575"	"0.035070086"	"0.028340331"	"0.071063328"	"0.041836773"	"0.034636638"	"0.022436753"	"0.052140064"	"0.023637255"	"0.029862279"	"0.024274633"	"0.034399674"	"0.063518968"	"0.024859996"	"0.03396487"	"0.029890209"	"0.034351849"	"0.054520637"	"0.024550926"	"0.051430593"	"0.040001508"	"0.029806594"	"0.029862279"	"0.054534808"	"0.062337617"	"0.029641121"	"0.044489884"	"0.156086905"	"0.02558041"	"0.114124117"	"0.040298478"	"0.032761523"	"0.010457083"	"0.057861318"	"0.017796915"	"0.103482208"	"0.058619946"	"0.0362249"	"0.049171134"	"0.029552043"	"0.041201589"	"0.025959835"	"0.046228229"	"0.028296082"	"0.026375122"	"0.050262356"	"0.035107147"	"0.067179609"	"0.029552043"	"0.052884655"	"0.012978232"	"0.069024246"	"0.016188646"	"0.020328768"	"0.033523826"	"0.040647301"	"0.022025585"	"0.010780346"	"0.042917784"	"0.061596532"	"0.038373247"	"0.035352681"	"0.054596584"	"0.04052509"	"0.005950005"
"CHEBI:27596"	"NA"	"CN1C=NC=C1C[C@H](N)C(O)=O"	"InChI=1S/C7H11N3O2/c1-10-4-9-3-5(10)2-6(8)7(11)12/h3-4,6H,2,8H2,1H3,(H,11,12)/t6-/m0/s1"	"3-Methylhistidine"	"HMDB0000479"	"64969"	"C01152"	"5466"	"0.45460275"	"22.86847047"	"28.56144871"	"23.18591348"	"24.09127411"	"0.74895038"	"3.9835639"	"0.35659374"	"16.5184598"	"1.25130544"	"7.1893893"	"1.75793227"	"39.8378892"	"2.42386686"	"108.25631519"	"1.22982915"	"0.83939448"	"0.69697879"	"4.92332733"	"2.25440218"	"0.65324415"	"6.16100761"	"6.41609052"	"1.6670654"	"0.55829621"	"17.93003799"	"4.03028669"	"4.05047595"	"2.38699534"	"9.96962881"	"1.64461978"	"1.52157249"	"0.25635407"	"4.27317331"	"42.37345913"	"10.89237331"	"4.05356176"	"35.02789539"	"54.00711373"	"9.73597703"	"3.47781133"	"0.19239225"	"3.9835639"	"7.88750311"	"3.97162128"	"42.45926337"	"5.78047134"	"3.41544086"	"2.98218"	"0.47879379"	"3.5998146"	"2.06614034"	"0.42270835"	"0.40781902"	"0.51323462"	"0.47879379"	"1.23122222"	"32.78297041"	"27.22283758"	"4.46340948"	"2.34784432"	"7.95108076"	"31.64313924"	"2.43361917"	"0.39180413"	"0.7738599"	"63.27611078"	"22.64594518"	"38.79557273"	"0.05714686"	"3.43664954"	"0.50773853"	"24.49441623"	"37.12621625"	"35.02789539"	"25.48259169"	"22.68048933"	"1.80005949"	"1.73817416"	"41.0106012"	"2.62337622"	"1.44902993"	"9.95537912"	"49.33951598"	"2.39695423"	"3.00133623"	"19.49056434"	"7.84481534"	"10.67844561"	"2.5035629"	"1.23664535"	"9.90158745"	"0.48314811"	"2.05274152"	"3.10985305"	"52.02430344"	"0.70872614"	"82.69155584"	"2.96857096"	"0.83287179"
"CHEBI:18323"	"NA"	"CN1C=NC=C1C[C@H](NC(=O)CCN)C(O)=O"	"InChI=1S/C10H16N4O3/c1-14-6-12-5-7(14)4-8(10(16)17)13-9(15)2-3-11/h5-6,8H,2-4,11H2,1H3,(H,13,15)(H,16,17)/t8-/m0/s1"	"Anserine"	"HMDB0000194"	"112072"	"C01262"	"5209"	"0.016559193"	"0.306095896"	"0.052156971"	"0.14618359"	"1.632493269"	"0.036166644"	"0.02681175"	"0.087097783"	"5.78528156"	"0.042728097"	"0.450490606"	"0.161152275"	"1.115404794"	"0.012198907"	"0.013545065"	"0.006724732"	"0.022949135"	"0.027939774"	"0.045702576"	"0.042728097"	"0.551176095"	"2.925896293"	"0.02081634"	"0.008821957"	"0.028263207"	"0.226965779"	"0.172482293"	"7.413108383"	"0.223539189"	"3.761732489"	"2.065716353"	"0.025321366"	"0.047412561"	"1.300785445"	"0.091271754"	"0.024781651"	"0.23519201"	"4.889934597"	"0.02392311"	"0.062576763"	"0.029789728"	"0.062576763"	"0.044484971"	"0.073421922"	"0.005217306"	"0.259061806"	"0.00933018"	"0.034092258"	"0.028290657"	"0.015000357"	"0.052101599"	"0.467510199"	"1.285752842"	"0.013075249"	"0.014415395"	"0.062589191"	"0.030014165"	"0.713926589"	"1.547572313"	"0.030827852"	"0.306095896"	"0.054580954"	"0.090293353"	"0.151038222"	"1.054886622"	"0.122529711"	"0.099740979"	"0.01123533"	"0.073421922"	"3.71504728"	"0.278187316"	"0.169552579"	"0.077491956"	"5.648054827"	"0.028759573"	"0.0067135"	"0.040239859"	"0.011648341"	"0.440446221"	"0.625311397"	"0.409919447"	"1.67079084"	"2.899149551"	"1.280456806"	"0.932991661"	"0.011691823"	"1.399014588"	"0.160147621"	"3.223180094"	"0.011648341"	"0.11989728"	"0.071082691"	"0.01420174"	"0.041980672"	"0.104926118"	"1.011721587"	"0.165759254"	"0.015274353"	"0.015014476"	"1.175755162"
"CHEBI:16349"	"NA"	"N[C@@H](CCCNC(N)=O)C(O)=O"	"InChI=1S/C6H13N3O3/c7-4(5(10)11)2-1-3-9-6(8)12/h4H,1-3,7H2,(H,10,11)(H3,8,9,12)/t4-/m0/s1"	"Citrulline"	"HMDB0000904"	"9750"	"C00327"	"16"	"0.024539129"	"0.017871159"	"0.048797217"	"0.029336074"	"0.035706937"	"0.038253645"	"0.01994921"	"0.020425798"	"0.020095781"	"0.021551063"	"0.020233849"	"0.021127785"	"0.016617582"	"0.03956946"	"0.041223363"	"0.010941942"	"0.042695421"	"0.06049886"	"0.041691664"	"0.108973837"	"0.027331594"	"0.014630661"	"0.108627324"	"0.011015687"	"0.041581345"	"0.019775833"	"0.018424706"	"0.170022966"	"0.012315615"	"0.112065964"	"0.031696956"	"0.050143423"	"0.053884783"	"0.013242356"	"0.024089933"	"0.040669968"	"0.01794065"	"0.067031711"	"0.017368301"	"0.015304631"	"0.026547681"	"0.025198813"	"0.01971185"	"0.022029432"	"0.020465187"	"0.075751521"	"0.042092125"	"0.036336215"	"0.057693991"	"0.014268796"	"0.028761344"	"0.036084615"	"0.011265343"	"0.018898423"	"0.045817198"	"0.066584447"	"0.022782561"	"0.028266572"	"0.025508082"	"0.028099965"	"0.021251459"	"0.022649985"	"0.014712739"	"0.422169146"	"0.028133022"	"0.022833936"	"0.036846918"	"0.02127443"	"0.197550635"	"0.035372298"	"0.016181361"	"0.034885494"	"0.020171533"	"0.010412128"	"0.012469003"	"0.012149081"	"0.03798435"	"0.012187347"	"0.034082834"	"0.031147643"	"0.020233849"	"0.016314768"	"0.022854586"	"0.015785049"	"0.028462373"	"0.037076931"	"0.01281328"	"0.054696493"	"0.047738173"	"0.018905588"	"0.020233849"	"0.015391893"	"0.026784458"	"0.029534263"	"0.028128985"	"0.01652856"	"0.041103273"	"0.020045373"	"0.131955359"	"0.013920818"
"CHEBI:17482"	"NA"	"N[C@@H](CCSC[C@H](N)C(O)=O)C(O)=O"	"InChI=1S/C7H14N2O4S/c8-4(6(10)11)1-2-14-3-5(9)7(12)13/h4-5H,1-3,8-9H2,(H,10,11)(H,12,13)/t4-,5-/m0/s1"	"Cystathionine"	"HMDB0000099"	"439258"	"C02291"	"39"	"0.35059531"	"0.20353567"	"1.34553749"	"0.14946033"	"0.31972013"	"1.08015611"	"0.16749901"	"0.15416213"	"0.19904653"	"0.23546013"	"0.25737027"	"0.72873751"	"0.65802331"	"0.52960939"	"0.37103581"	"0.41968496"	"0.42697083"	"0.26535292"	"0.44787238"	"0.54579102"	"0.19486337"	"0.31991278"	"0.24489136"	"0.31940429"	"0.14956"	"0.2870837"	"0.2529712"	"0.44313154"	"0.11032801"	"0.87972576"	"0.02039855"	"0.24920235"	"0.55966652"	"0.08117225"	"0.19976293"	"0.5239761"	"2.36240289"	"0.44506476"	"0.25737027"	"0.41555985"	"0.78971421"	"0.38232476"	"0.17005262"	"0.09036271"	"0.08010509"	"0.19792828"	"0.11787403"	"0.17124111"	"0.72873751"	"0.28506116"	"0.94523983"	"0.34667594"	"1.44271697"	"0.35683173"	"0.14980813"	"0.14851907"	"0.26955809"	"0.98174513"	"0.95518913"	"0.76410198"	"3.6883312"	"0.19841482"	"0.49008423"	"1.11781864"	"0.78484583"	"0.52740333"	"0.02658619"	"0.1312176"	"0.16338785"	"0.77609281"	"0.27116922"	"1.24658371"	"0.33276719"	"0.43370781"	"0.4696995"	"0.305417"	"0.30573918"	"0.90194608"	"0.24116392"	"0.40252322"	"0.4503924"	"1.0465257"	"0.95980311"	"0.1060556"	"0.43892318"	"0.2627916"	"0.305417"	"0.0936786"	"0.14190943"	"0.45193075"	"0.32704877"	"3.6883312"	"0.13387693"	"2.36960679"	"0.17677115"	"0.28265392"	"0.64704653"	"0.43382134"	"0.17527068"	"0.31569847"
"CHEBI:17561"	"NA"	"N[C@@H](CS)C(O)=O"	"InChI=1S/C3H7NO2S/c4-2(1-7)3(5)6/h2,7H,1,4H2,(H,5,6)/t2-/m0/s1"	"Cysteine"	"HMDB0000574"	"5862"	"C00097"	"5556"	"0.70014"	"1.4146787"	"0.6202923"	"0.5897694"	"1.3756182"	"1.8560508"	"0.9916762"	"1.0037207"	"0.939686"	"1.216973"	"0.8994384"	"1.6931494"	"0.7073169"	"1.1624144"	"1.746186"	"1.1030451"	"2.7185579"	"1.4469925"	"1.0914023"	"0.8242353"	"1.6613021"	"0.7320025"	"1.8784494"	"0.441761"	"1.1444475"	"1.4968957"	"0.930327"	"1.4268399"	"0.615416"	"0.8208693"	"1.4146787"	"1.2894286"	"1.015048"	"0.9712776"	"0.7912096"	"1.8415917"	"0.8763705"	"0.9684167"	"1.7288506"	"1.8539919"	"0.997902"	"1.1849808"	"0.7449078"	"1.4613384"	"0.6095926"	"0.8345064"	"1.0698651"	"1.2277135"	"0.5899935"	"0.6567358"	"1.5822478"	"1.2652278"	"0.801018"	"0.8136517"	"0.9294789"	"1.0798525"	"1.145628"	"1.3023365"	"1.4963363"	"1.1469624"	"0.9096369"	"0.816064"	"1.1398373"	"1.2161062"	"1.0388658"	"1.003113"	"1.1248284"	"1.7921127"	"0.9927404"	"0.9993652"	"1.8560508"	"1.5720884"	"1.3928266"	"0.9230809"	"1.1488353"	"1.686265"	"1.0184175"	"0.9659809"	"1.1839046"	"1.0737014"	"1.3311998"	"1.2948478"	"0.9447592"	"0.828578"	"1.1687729"	"0.7292936"	"0.9329032"	"0.8968855"	"0.6696359"	"1.1380424"	"1.3791216"	"0.2066437"	"1.2590276"	"2.0601194"	"0.8344866"	"1.1687729"	"3.8656621"	"1.5601655"	"1.1112425"	"1.3790578"
"CHEBI:27389"	"NA"	"CC(CN)C(O)=O"	"InChI=1S/C4H9NO2/c1-3(2-5)4(6)7/h3H,2,5H2,1H3,(H,6,7)"	"3-aminoisobutyric acid"	"HMDB0003911"	"64956"	"C05145"	"5472"	"1.00873901"	"1.70379398"	"1.147241"	"0.60357552"	"5.07565253"	"0.19992322"	"0.58619124"	"1.02836451"	"1.08647213"	"1.05527986"	"0.67686065"	"0.88835961"	"1.24996653"	"2.17911064"	"0.55962945"	"1.81755387"	"0.55962945"	"0.08744976"	"0.23509376"	"1.17157267"	"0.64102706"	"0.90172505"	"0.94916635"	"6.32555628"	"1.88553954"	"0.55327596"	"0.58139281"	"1.85447759"	"1.73874308"	"2.61587322"	"0.26832206"	"1.60099041"	"5.4288216"	"1.98786026"	"1.0449849"	"1.09292284"	"0.57376942"	"0.13181422"	"0.78914845"	"0.52335455"	"0.90172505"	"1.35717334"	"0.47528353"	"1.24486471"	"3.40494618"	"6.0862704"	"0.36882878"	"2.40395404"	"0.6539784"	"3.59337462"	"6.09147122"	"9.62482387"	"0.91388114"	"0.59031095"	"0.77250755"	"0.87309945"	"1.68030659"	"4.28416589"	"0.9163183"	"0.45496636"	"2.34538646"	"0.36205358"	"4.68190689"	"7.41645228"	"2.16247358"	"1.17630787"	"3.25746092"	"0.80624553"	"0.78614778"	"1.6825656"	"1.63410256"	"1.54715005"	"0.98021211"	"1.32558717"	"1.01622781"	"1.37980626"	"0.25025989"	"0.89341466"	"1.2656482"	"1.12792401"	"0.54007679"	"1.76988928"	"1.22384605"	"0.2335167"	"0.61866458"	"1.36236046"	"1.03677591"	"1.2382168"	"0.46832944"	"0.9718426"	"0.84182955"	"0.67921364"	"0.29364639"	"1.86906173"	"2.73056035"	"1.49451999"	"1.26974611"	"0.70991083"	"1.06573889"	"1.09624017"
"CHEBI:16000"	"NA"	"NCCO"	"InChI=1S/C2H7NO/c3-1-2-4/h4H,1-3H2"	"Ethanolamine"	"HMDB0000149"	"700"	"C00189"	"3207"	"6.912323"	"6.61101"	"4.700721"	"7.898416"	"6.00068"	"3.919401"	"3.727339"	"3.186559"	"11.105909"	"6.437468"	"7.680759"	"7.000134"	"5.701663"	"6.125482"	"4.848976"	"3.781849"	"6.284858"	"8.478628"	"4.092093"	"5.716845"	"4.798214"	"5.311508"	"5.634145"	"9.949849"	"7.133451"	"8.533422"	"11.200838"	"15.215197"	"7.185113"	"5.192177"	"9.644613"	"7.405556"	"5.949349"	"4.746684"	"8.456297"	"5.993989"	"6.853576"	"7.396551"	"6.673975"	"5.993224"	"4.969289"	"3.759666"	"7.428666"	"8.821423"	"6.810862"	"5.479712"	"3.372893"	"5.701663"	"6.823337"	"6.823203"	"7.065424"	"8.498825"	"5.561669"	"8.805489"	"3.797369"	"5.822833"	"7.322377"	"6.008909"	"8.54445"	"7.489435"	"4.922764"	"9.229734"	"8.677171"	"7.958132"	"12.806376"	"5.927032"	"5.441835"	"5.862126"	"5.311508"	"5.709668"	"7.047632"	"3.396027"	"6.283528"	"8.065798"	"5.869382"	"4.391539"	"5.883046"	"3.722803"	"3.430844"	"3.861316"	"7.479003"	"5.465981"	"7.243351"	"4.375896"	"7.068556"	"7.958132"	"3.861316"	"6.193029"	"7.50989"	"6.060951"	"3.510994"	"4.787099"	"8.083794"	"6.093022"	"6.974471"	"5.441835"	"7.14737"	"6.247831"	"4.668443"	"6.103521"
