"database_identifier"	"chemical_formula"	"smiles"	"InChI Code"	"metabolite_identification"	"HMDB_ID"	"PubChem_CID"	"KEGG_ID"	"METLIN_ID"	"synth_XOM_001"	"synth_XOM_002"	"synth_XOM_003"	"synth_XOM_004"	"synth_XOM_005"	"synth_XOM_006"	"synth_XOM_007"	"synth_XOM_008"	"synth_XOM_009"	"synth_XOM_010"	"synth_XOM_011"	"synth_XOM_012"	"synth_XOM_013"	"synth_XOM_014"	"synth_XOM_015"	"synth_XOM_016"	"synth_XOM_017"	"synth_XOM_018"	"synth_XOM_019"	"synth_XOM_020"	"synth_XOM_021"	"synth_XOM_022"	"synth_XOM_023"	"synth_XOM_024"	"synth_XOM_025"	"synth_XOM_026"	"synth_XOM_027"	"synth_XOM_028"	"synth_XOM_029"	"synth_XOM_030"	"synth_XOM_031"	"synth_XOM_032"	"synth_XOM_033"	"synth_XOM_034"	"synth_XOM_035"	"synth_XOM_036"	"synth_XOM_037"	"synth_XOM_038"	"synth_XOM_039"	"synth_XOM_040"	"synth_XOM_041"	"synth_XOM_042"	"synth_XOM_043"	"synth_XOM_044"	"synth_XOM_045"	"synth_XOM_046"	"synth_XOM_047"	"synth_XOM_048"	"synth_XOM_049"	"synth_XOM_050"	"synth_XOM_051"	"synth_XOM_052"	"synth_XOM_053"	"synth_XOM_054"	"synth_XOM_055"	"synth_XOM_056"	"synth_XOM_057"	"synth_XOM_058"	"synth_XOM_059"	"synth_XOM_060"	"synth_XOM_061"	"synth_XOM_062"	"synth_XOM_063"	"synth_XOM_064"	"synth_XOM_065"	"synth_XOM_066"	"synth_XOM_067"	"synth_XOM_068"	"synth_XOM_069"	"synth_XOM_070"	"synth_XOM_071"	"synth_XOM_072"	"synth_XOM_073"	"synth_XOM_074"	"synth_XOM_075"	"synth_XOM_076"	"synth_XOM_077"	"synth_XOM_078"	"synth_XOM_079"	"synth_XOM_080"	"synth_XOM_081"	"synth_XOM_082"	"synth_XOM_083"	"synth_XOM_084"	"synth_XOM_085"	"synth_XOM_086"	"synth_XOM_087"	"synth_XOM_088"	"synth_XOM_089"	"synth_XOM_090"	"synth_XOM_091"	"synth_XOM_092"	"synth_XOM_093"	"synth_XOM_094"	"synth_XOM_095"	"synth_XOM_096"	"synth_XOM_097"	"synth_XOM_098"	"synth_XOM_099"	"synth_XOM_100"
"CHEBI:-"	"NA"	"C[C@]12CC(=O)C3C(CCC4C[C@@H](O)CC[C@]34C)C1CC[C@@]2(O)C(O)CO"	"InChI=1S/C21H34O5/c1-19-7-5-13(23)9-12(19)3-4-14-15-6-8-21(26,17(25)11-22)20(15,2)10-16(24)18(14)19/h12-15,17-18,22-23,25-26H,3-11H2,1-2H3/t12?,13-,14?,15?,17?,18?,19-,20-,21+/m0/s1"	"beta-Cortolone"	"HMDB0013221"	"53481657"	"C05481"	"-"	"0.010795724"	"0.025290757"	"0.045388281"	"0.026259896"	"0.045494586"	"0.01799683"	"0.051875594"	"0.048381282"	"0.016537507"	"0.014627032"	"0.035680847"	"0.014793424"	"0.037586501"	"0.073129407"	"0.011698507"	"0.016930172"	"0.024556207"	"0.010831853"	"0.013539051"	"0.025868956"	"0.020237886"	"0.014940934"	"0.010832871"	"0.018972807"	"0.032825985"	"0.074288503"	"0.01941825"	"0.055153789"	"0.023931783"	"0.010831853"	"0.01893945"	"0.013243641"	"0.03583668"	"0.014152587"	"0.057431813"	"0.026772031"	"0.0362082"	"0.007794456"	"0.019523875"	"0.00988123"	"0.044921893"	"0.027763608"	"0.079293197"	"0.034445471"	"0.01949604"	"0.00596946"	"0.038758435"	"0.079293197"	"0.037510627"	"0.097283552"	"0.030452603"	"0.0338498"	"0.019592138"	"0.008630884"	"0.005477064"	"0.0127772"	"0.023298402"	"0.003048091"	"0.043700848"	"0.046305441"	"0.008135769"	"0.016818719"	"0.084167064"	"0.013198589"	"0.013913231"	"0.015496146"	"0.007685799"	"0.018266115"	"0.015183944"	"0.037003911"	"0.052256786"	"0.024618351"	"0.0069595"	"0.016383692"	"0.022493756"	"0.0127772"	"0.083645271"	"0.027989553"	"0.04090031"	"0.028778467"	"0.046253516"	"0.016383692"	"0.070839802"	"0.032793978"	"0.029666634"	"0.02602551"	"0.020298682"	"0.078039002"	"0.034732285"	"0.024960131"	"0.024618351"	"0.043131925"	"0.039823401"	"0.026683171"	"0.018500913"	"0.025106802"	"0.01893945"	"0.017222911"	"0.025646308"	"0.021546664"
"CHEBI:3899"	"NA"	"[H][C@@]12CC[C@](O)([C@@H](O)CO)[C@@]1(C)CC(=O)[C@@]1([H])[C@@]2([H])CC[C@]2([H])C[C@H](O)CC[C@]12C"	"InChI=1S/C21H34O5/c1-19-7-5-13(23)9-12(19)3-4-14-15-6-8-21(26,17(25)11-22)20(15,2)10-16(24)18(14)19/h12-15,17-18,22-23,25-26H,3-11H2,1-2H3/t12-,13-,14+,15+,17+,18-,19+,20+,21+/m1/s1"	"alpha-Cortolone"	"HMDB0003128"	"160499"	"C05481"	"3175"	"0.016370597"	"0.007880694"	"0.089356444"	"0.026714063"	"0.022727569"	"0.02246068"	"0.026389451"	"0.014295808"	"0.008758039"	"0.027834413"	"0.040569117"	"0.027364946"	"0.010758474"	"0.006353646"	"0.018878659"	"0.013900173"	"0.00993472"	"0.014841694"	"0.033332053"	"0.019220444"	"0.029944383"	"0.011339282"	"0.006945613"	"0.034104751"	"0.026217102"	"0.021255488"	"0.020532635"	"0.009128983"	"0.00795185"	"0.021132482"	"0.018203883"	"0.008606195"	"0.017583364"	"0.00827086"	"0.016527705"	"0.01202849"	"0.033201988"	"0.012893526"	"0.019977009"	"0.021565322"	"0.017573592"	"0.019410127"	"0.015783233"	"0.014477752"	"0.019933785"	"0.01547647"	"0.017432294"	"0.022237781"	"0.032863643"	"0.037294518"	"0.005632037"	"0.008438305"	"0.008383395"	"0.01730265"	"0.012697726"	"0.022419179"	"0.010343535"	"0.014602501"	"0.027201002"	"0.023616051"	"0.012329766"	"0.034916927"	"0.018900232"	"0.016771457"	"0.0129733"	"0.0068454"	"0.017573592"	"0.019530417"	"0.011958269"	"0.006945613"	"0.035159486"	"0.007522397"	"0.009233664"	"0.012693009"	"0.023407863"	"0.016502203"	"0.021996452"	"0.010417891"	"0.004917738"	"0.009450475"	"0.010594289"	"0.022662202"	"0.002269031"	"0.002269031"	"0.025176148"	"0.015093334"	"0.026955952"	"0.029689487"	"0.02062917"	"0.008640695"	"0.016997085"	"0.050020418"	"0.010355206"	"0.012080113"	"0.006284522"	"0.014841694"	"0.018231066"	"0.036373463"	"0.020912119"	"0.012697726"
"CHEBI:17650"	"NA"	"[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C"	"InChI=1S/C21H30O5/c1-19-7-5-13(23)9-12(19)3-4-14-15-6-8-21(26,17(25)11-22)20(15,2)10-16(24)18(14)19/h9,14-16,18,22,24,26H,3-8,10-11H2,1-2H3/t14-,15-,16-,18+,19-,20-,21+/m0/s1"	"Cortisol"	"HMDB0000063"	"5754"	"C00735"	"5124"	"0.014474116"	"0.002925546"	"0.028475086"	"0.037560959"	"0.04368235"	"0.017472948"	"0.010230243"	"0.032031895"	"0.030246342"	"0.016576878"	"0.018552298"	"0.05056132"	"0.024040343"	"0.051371781"	"0.033431407"	"0.04917118"	"0.039063041"	"0.025716036"	"0.07040759"	"0.047983555"	"0.014415397"	"0.048737027"	"0.004356158"	"0.024557434"	"0.051156094"	"0.03182848"	"0.118346182"	"0.039938887"	"0.024190505"	"0.066173414"	"0.006309237"	"0.031043518"	"0.024600212"	"0.018274695"	"0.04183528"	"0.065728565"	"0.042967056"	"0.03252649"	"0.014048941"	"0.028932886"	"0.014048941"	"0.026354678"	"0.011248959"	"0.037055326"	"0.045997775"	"0.021857209"	"0.08148644"	"0.010520958"	"0.035507693"	"0.031492711"	"0.045989713"	"0.014474116"	"0.013619477"	"0.014941894"	"0.018816035"	"0.029935664"	"0.035744455"	"0.027513279"	"0.014323294"	"0.031362505"	"0.013277301"	"0.00854758"	"0.039070519"	"0.02674865"	"0.039063041"	"0.03265911"	"0.019837722"	"0.023168567"	"0.046858966"	"0.02314107"	"0.048072822"	"0.035995487"	"0.025144312"	"0.006914228"	"0.013186338"	"0.029230035"	"0.02012992"	"0.040343425"	"0.024842024"	"0.023998144"	"0.025951697"	"0.130566015"	"0.035657679"	"0.018260157"	"0.013277301"	"0.004356158"	"0.018853404"	"0.100215628"	"0.036720541"	"0.035744455"	"0.02490022"	"0.024498327"	"0.082043928"	"0.007753007"	"0.010222377"	"0.106940981"	"0.016916081"	"0.029114363"	"0.072639477"	"0.018906536"
"CHEBI:16962"	"NA"	"[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)CC(=O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C"	"InChI=1S/C21H28O5/c1-19-7-5-13(23)9-12(19)3-4-14-15-6-8-21(26,17(25)11-22)20(15,2)10-16(24)18(14)19/h9,14-15,18,22,26H,3-8,10-11H2,1-2H3/t14-,15-,18+,19-,20-,21-/m0/s1"	"Cortisone"	"HMDB0002802"	"222786"	"C00762"	"271"	"0.04789946"	"0.0744602"	"0.07155582"	"0.05844588"	"0.08000334"	"0.08012127"	"0.03733203"	"0.06688465"	"0.10155205"	"0.17452786"	"0.01372409"	"0.02377943"	"0.17805002"	"0.14521117"	"0.07880745"	"0.05829552"	"0.06644326"	"0.06662801"	"0.06359938"	"0.02396263"	"0.06705345"	"0.06092989"	"0.14016723"	"0.07516932"	"0.09705355"	"0.0919795"	"0.05930012"	"0.05882279"	"0.13976479"	"0.05832515"	"0.10307008"	"0.10513791"	"0.05022595"	"0.05894929"	"0.08389017"	"0.04363806"	"0.09092037"	"0.04935569"	"0.09173982"	"0.08636628"	"0.06505771"	"0.05738972"	"0.068255"	"0.12949894"	"0.11484161"	"0.09376989"	"0.06786452"	"0.06044034"	"0.04720863"	"0.05200743"	"0.18665728"	"0.1186548"	"0.07189729"	"0.12547974"	"0.16623303"	"0.05421538"	"0.16335086"	"0.10029536"	"0.05993036"	"0.03713018"	"0.10619795"	"0.13394253"	"0.06888662"	"0.07025285"	"0.09090513"	"0.05919441"	"0.23962631"	"0.13226557"	"0.13816934"	"0.05083139"	"0.10403998"	"0.08407521"	"0.07984753"	"0.07293191"	"0.07776476"	"0.07267787"	"0.03677637"	"0.08065484"	"0.09239326"	"0.12572104"	"0.05665802"	"0.04915106"	"0.07468864"	"0.07156102"	"0.1428387"	"0.04862287"	"0.09650134"	"NA"	"0.09547064"	"0.10791352"	"0.06560059"	"0.09678867"	"0.03950054"	"0.09653893"	"0.08263697"	"0.14294634"	"0.07156868"	"0.07320976"	"0.04430603"	"0.05722822"
"CHEBI:-"	"NA"	"CC12CCC(=O)C=C1CCC3C2C(=O)CC4(C3CCC4(C(=O)COS(=O)(=O)O)O)C"	"InChI=1S/C21H28O8S/c1-19-7-5-13(22)9-12(19)3-4-14-15-6-8-21(25,17(24)11-29-30(26,27)28)20(15,2)10-16(23)18(14)19/h9,14-15,18,25H,3-8,10-11H2,1-2H3,(H,26,27,28)/t14-,15-,18+,19-,20-,21-/m0/s1"	"Cortisone_sulfate"	"-"	"193322"	"-"	"-"	"0.01597415"	"0.0269205"	"0.01949659"	"0.02736931"	"0.0286767"	"0.0283817"	"0.01951877"	"0.03807265"	"0.03143164"	"0.03540772"	"0.0110303"	"0.02736931"	"0.02748979"	"0.01170163"	"0.03636598"	"0.04420177"	"0.05100945"	"0.02390519"	"0.03379124"	"0.02778933"	"0.01238217"	"0.02910758"	"0.01116035"	"0.01119085"	"0.03064154"	"0.01356196"	"0.04154315"	"0.00952371"	"0.004353275"	"0.01624104"	"0.01325994"	"0.01449704"	"0.03273668"	"0.006583513"	"0.03277504"	"0.01853913"	"0.009803191"	"0.004108809"	"0.01338979"	"0.0367466"	"0.01014536"	"0.01267929"	"0.02294153"	"0.04857285"	"0.01674956"	"0.125296"	"0.004353275"	"0.005246134"	"0.01661481"	"0.04872857"	"0.02248173"	"5.341455e-05"	"0.01099949"	"0.03570593"	"0.0414635"	"0.013916"	"0.03812552"	"0.03570199"	"0.01779865"	"0.01408479"	"0.009485902"	"0.009063497"	"0.01355775"	"0.007641577"	"0.06341939"	"0.02143837"	"0.02903282"	"0.02904729"	"0.02175996"	"0.01565737"	"0.01377083"	"0.01853913"	"0.02186418"	"0.02270897"	"0.01265168"	"0.02288665"	"0.01542354"	"0.004108809"	"0.03109355"	"0.01294817"	"0.03470299"	"0.01981939"	"0.004480221"	"0.01337602"	"0.03109355"	"0.00770097"	"0.02908886"	"0.005610818"	"0.01017311"	"0.002864129"	"0.01645179"	"0.01762136"	"0.03112642"	"0.03064154"	"0.01123689"	"0.02708026"	"0.01782862"	"0.01506634"	"0.01017311"	"0.01894829"
"CHEBI:89417"	"NA"	"[H][C@@]12CC[C@H](O[C@]3([H])O[C@@H]([C@@H](O)[C@H](O)[C@H]3O)C(O)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])CC(=O)CC[C@]12C"	"InChI=1S/C25H38O8/c1-24-9-7-13(26)11-12(24)3-4-14-15-5-6-17(25(15,2)10-8-16(14)24)32-23-20(29)18(27)19(28)21(33-23)22(30)31/h12,14-21,23,27-29H,3-11H2,1-2H3,(H,30,31)/t12-,14-,15-,16-,17-,18-,19-,20+,21-,23+,24-,25-/m0/s1"	"DihydroTestosterone_glucuronide"	"HMDB0006203"	"44263365"	"-"	"-"	"0.0087611582"	"0.003220525"	"0.0031704954"	"0.0077899719"	"0.0043923789"	"0.0020097855"	"0.0493709939"	"0.0105050862"	"0.0063304014"	"0.0069787368"	"0.0226347992"	"0.0038510397"	"0.0039215441"	"0.00559253"	"0.0205422728"	"0.0142782958"	"0.0048252692"	"0.0051333639"	"0.003820467"	"0.0042692905"	"0.0066885389"	"0.0064517788"	"0.004640482"	"0.00367705"	"0.0187711032"	"0.0360817428"	"0.0056676701"	"0.0050131836"	"0.0141338168"	"0.0154385399"	"0.0090739706"	"0.0111699559"	"0.0043031529"	"0.0031882361"	"0.0095766414"	"0.0025545459"	"0.0131806312"	"0.0698451018"	"0.001075318"	"0.0055886595"	"0.0188601833"	"0.0062408533"	"0.0027233467"	"0.0017749699"	"0.0144163567"	"0.0036854109"	"0.0043832582"	"0.000704431"	"0.0067066856"	"0.0044826183"	"0.0038738994"	"0.0239412357"	"0.0060931058"	"0.0380936633"	"0.0420672401"	"0.0156339419"	"0.0044478222"	"0.0052195584"	"0.0056321235"	"0.0269270052"	"0.0038765221"	"0.0081528188"	"0.1150204478"	"0.0054412583"	"0.0212800385"	"0.0237904781"	"0.0063836583"	"0.0096483032"	"0.003357594"	"0.0052833804"	"0.0043862672"	"0.0117213642"	"0.0008842439"	"0.0040425719"	"0.0023325905"	"0.0189543688"	"0.0054141091"	"0.0079988251"	"0.0016743346"	"0.054465154"	"0.0140701199"	"0.0096264"	"0.0090377624"	"0.003383446"	"0.00367705"	"0.0023707859"	"0.0131806312"	"0.0067789829"	"0.0100885592"	"0.0802595477"	"0.0111323031"	"0.0102293696"	"0.0058995109"	"0.0042480936"	"0.0082479343"	"0.0023793386"	"NA"	"0.0088623834"	"0.0109933368"	"0.0093447496"
"CHEBI:37451"	"NA"	"[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@]2([H])C[C@@H](CC[C@]12C)O[C@@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)C(O)=O"	"InChI=1S/C25H38O8/c1-24-9-7-13(32-23-20(29)18(27)19(28)21(33-23)22(30)31)11-12(24)3-4-14-15-5-6-17(26)25(15,2)10-8-16(14)24/h12-16,18-21,23,27-29H,3-11H2,1-2H3,(H,30,31)/t12-,13-,14+,15+,16+,18+,19+,20-,21+,23-,24+,25+/m1/s1"	"Etiocholanolone_glucuronide"	"HMDB0004484"	"443078"	"C11136"	"7064"	"4.17822076"	"0.87559125"	"2.26459555"	"0.46331516"	"4.65148128"	"7.28703616"	"1.3531254"	"1.0418239"	"1.36813579"	"2.47320276"	"1.68756174"	"1.14452985"	"0.67235908"	"0.36265189"	"1.36189191"	"2.24200912"	"0.41997678"	"1.11878532"	"0.91929652"	"1.0936536"	"0.18461029"	"0.64905162"	"0.38258858"	"1.59494821"	"0.87559125"	"0.49545338"	"0.98800117"	"0.5870243"	"2.36693581"	"1.34460029"	"2.85644682"	"10.87288309"	"1.0052007"	"0.97142977"	"0.17916192"	"0.38258858"	"0.5621828"	"1.28913467"	"7.00517001"	"4.41004057"	"0.24089808"	"2.88659286"	"0.33250663"	"0.43598862"	"1.0049131"	"0.83474956"	"2.62975205"	"0.54602749"	"0.49279641"	"3.2693899"	"0.36446329"	"1.32065776"	"0.06541291"	"4.08413494"	"2.62975205"	"0.43698637"	"1.51853887"	"0.80560305"	"0.22567697"	"4.42202222"	"0.92049906"	"1.6058264"	"1.85402126"	"5.80540273"	"0.38561708"	"0.18195451"	"1.4077597"	"4.88976073"	"0.79857138"	"0.140747"	"0.11982409"	"2.55715659"	"4.52716132"	"1.42624216"	"3.82258095"	"0.91330073"	"0.51466026"	"3.28149876"	"2.33448728"	"0.42742395"	"1.78251189"	"1.0269387"	"0.25656129"	"0.3705383"	"0.23137917"	"2.07356498"	"0.12821417"	"6.12589803"	"0.9754703"	"0.03562724"	"2.12091461"	"3.63409856"	"2.18905864"	"0.31207436"	"0.59804243"	"0.11295104"	"2.75280189"	"2.32850159"	"0.74294811"	"2.13945697"
"CHEBI:-"	"NA"	"[H][C@]12CCC3C4CCC(=O)[C@@]4(C)CCC3[C@@]1(C)CC[C@H](C2)OS(O)(=O)=O"	"InChI=1S/C19H30O5S/c1-18-9-7-13(24-25(21,22)23)11-12(18)3-4-14-15-5-6-17(20)19(15,2)10-8-16(14)18/h12-16H,3-11H2,1-2H3,(H,21,22,23)/t12-,13-,14?,15?,16?,18+,19+/m1/s1"	"Etiocholanolone_sulfate"	"HMDB0013232"	"53481659"	"-"	"-"	"0.115873847"	"1.112165988"	"0.11444316"	"0.329692865"	"0.018893744"	"0.372028929"	"0.272518686"	"0.342799152"	"0.169530603"	"0.269693022"	"NA"	"0.444492527"	"0.027467127"	"0.16485668"	"0.513075143"	"0.339166687"	"0.045781806"	"0.470305036"	"0.138205432"	"0.019569064"	"0.218702025"	"0.102907575"	"0.444492527"	"0.059287346"	"0.647887945"	"0.079723533"	"0.16702846"	"0.372028929"	"0.123078374"	"0.380703258"	"0.170392076"	"0.196004966"	"0.258962981"	"0.338123562"	"0.034054594"	"0.167355625"	"0.162095329"	"0.084643936"	"0.125914836"	"0.365643769"	"0.455130183"	"0.130778328"	"0.387787503"	"0.91326018"	"1.06218485"	"0.199714232"	"1.238113655"	"0.148872772"	"0.088160534"	"0.095986656"	"0.051997834"	"0.642855265"	"0.111176336"	"0.127105476"	"0.244513982"	"0.700343079"	"0.164412097"	"0.660679361"	"0.158091151"	"0.377131398"	"0.587069159"	"1.222587365"	"0.395753078"	"0.167884878"	"0.020227663"	"0.351907462"	"0.028137104"	"0.222627438"	"0.052610754"	"0.05723788"	"0.066365755"	"0.532814474"	"0.464928999"	"0.114123897"	"0.190567146"	"NA"	"0.330047511"	"0.998570109"	"0.494691393"	"0.497104108"	"0.546698358"	"0.166086266"	"0.233293513"	"0.139953099"	"0.180717801"	"0.215940966"	"0.076593557"	"0.151102059"	"0.041896953"	"0.084054981"	"0.199360572"	"0.027261895"	"0.258196359"	"0.184630214"	"0.008328188"	"0.16702589"	"0.36856385"	"0.327252869"	"0.816742859"	"0.059107607"
"CHEBI:28835"	"NA"	"[H][C@@]12CC[C@H](O[C@@H]3O[C@@H]([C@@H](O)[C@H](O)[C@H]3O)C(O)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C"	"InChI=1S/C25H36O8/c1-24-9-7-13(26)11-12(24)3-4-14-15-5-6-17(25(15,2)10-8-16(14)24)32-23-20(29)18(27)19(28)21(33-23)22(30)31/h11,14-21,23,27-29H,3-10H2,1-2H3,(H,30,31)/t14-,15-,16-,17-,18-,19-,20+,21-,23+,24-,25-/m0/s1"	"Testosterone_glucuronide"	"HMDB0003193"	"108192"	"C11134"	"2794"	"0.005889544"	"0.002259166"	"0.0002057004"	"0.002257778"	"0.002932025"	"0.001421882"	"0.0002973074"	"0.003887468"	"0.003138658"	"0.002273947"	"0.002164927"	"0.0005820771"	"0.004331288"	"0.003358323"	"0.00727073"	"0.006766171"	"0.003457779"	"0.0003624708"	"0.002940411"	"0.02897094"	"0.00716161"	"0.006795436"	"0.002770667"	"0.00682715"	"0.000729242"	"0.002502109"	"0.010739"	"0.003148332"	"0.0003110009"	"0.002998806"	"0.002648756"	"0.003202234"	"0.0009044275"	"0.01033746"	"0.007445274"	"0.001885038"	"0.002424693"	"0.007637182"	"0.0004818473"	"0.008848062"	"0.00190216"	"0.003193072"	"0.003871172"	"0.009000176"	"0.009968458"	"9.728338e-05"	"0.006478023"	"0.004170327"	"0.01483101"	"0.008613442"	"0.001960691"	"0.003752872"	"0.003643806"	"0.004116946"	"0.008278689"	"0.002217583"	"0.004229657"	"0.0006908437"	"0.001083696"	"0.00630142"	"0.002896902"	"0.009333041"	"0.002217583"	"0.006881111"	"0.001114516"	"0.009371232"	"0.004297154"	"0.001913203"	"0.002930574"	"0.002594928"	"0.003398497"	"0.01047442"	"0.007288336"	"0.009977684"	"0.004834616"	"0.009057248"	"0.003104999"	"0.001067125"	"0.001007649"	"0.001012169"	"0.002219718"	"0.006185244"	"0.001989753"	"0.002854488"	"0.00190999"	"0.009333041"	"0.01045915"	"NA"	"0.00353177"	"0.001665142"	"0.001054971"	"0.0006908437"	"0.003704303"	"0.009057248"	"0.003596354"	"0.003889858"	"0.008631656"	"0.0005498527"	"0.0202306"	"0.001620921"
"CHEBI:79793"	"NA"	"C[C@]12CCC(=O)C=C1[C@H](C[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C)O)O"	"InChI=1S/C21H30O6/c1-19-5-3-11(23)7-14(19)15(24)8-12-13-4-6-21(27,17(26)10-22)20(13,2)9-16(25)18(12)19/h7,12-13,15-16,18,22,24-25,27H,3-6,8-10H2,1-2H3/t12-,13-,15-,16-,18+,19-,20-,21-/m0/s1"	"6-alpha-OH-cortisol"	"-"	"254633"	"C15291"	"-"	"0.010724386"	"0.007698124"	"0.0256531074"	"0.0195796202"	"0.0170581466"	"0.0119999734"	"0.0043927377"	"0.0118868527"	"0.0149512331"	"0.009292838"	"0.0064697768"	"0.0060042874"	"0.0032371571"	"0.0055763936"	"0.006399181"	"0.0139656449"	"0.0047108008"	"0.0113654262"	"0.005770616"	"0.0100423414"	"0.0116794295"	"0.0155106101"	"0.0065476344"	"0.0028717781"	"0.0102458187"	"0.0069909026"	"0.0045851136"	"NA"	"0.0030237698"	"0.0048940127"	"0.0016699041"	"0.0097496208"	"0.0056163154"	"0.0028697844"	"0.0156818387"	"0.0119623897"	"0.0210798503"	"0.0102870988"	"0.0032858652"	"0.0117484883"	"0.0090705372"	"0.0245296862"	"0.0100903363"	"0.0187028042"	"0.006719583"	"0.0076061842"	"0.0055763936"	"0.0036244546"	"0.0127263017"	"0.0186424149"	"0.0076285675"	"0.0190323788"	"0.0286019965"	"0.0064093787"	"0.0076826816"	"0.0211206334"	"0.0097496208"	"0.0141444934"	"0.007032719"	"0.0074415651"	"0.0034734649"	"0.0084599523"	"0.0223083832"	"0.0028717781"	"0.0098381278"	"0.0104828644"	"0.0126366878"	"0.0046437739"	"0.009544252"	"0.0062062874"	"0.0034822353"	"0.002515227"	"0.0149043256"	"0.0193237771"	"0.0032484227"	"0.004332239"	"0.010833897"	"0.0068368008"	"0.0133634723"	"0.0205154078"	"0.0094918394"	"0.0016699041"	"0.0204092669"	"0.0062666549"	"0.0028697844"	"0.0138250802"	"0.0066470394"	"0.0029489068"	"0.0044541968"	"0.0162053474"	"0.0035199361"	"0.0053280826"	"0.0084364481"	"0.0076285675"	"0.0082855976"	"0.0151544707"	"0.0162364867"	"0.0049163123"	"0.0166209952"	"0.002515227"
