"","synth_XOE_001","synth_XOE_002","synth_XOE_003","synth_XOE_004","synth_XOE_005","synth_XOE_006","synth_XOE_007","synth_XOE_008","synth_XOE_009","synth_XOE_010","synth_XOE_011","synth_XOE_012","synth_XOE_013","synth_XOE_014","synth_XOE_015","synth_XOE_016","synth_XOE_017","synth_XOE_018","synth_XOE_019","synth_XOE_020","synth_XOE_021","synth_XOE_022","synth_XOE_023","synth_XOE_024","synth_XOE_025","synth_XOE_026","synth_XOE_027","synth_XOE_028","synth_XOE_029","synth_XOE_030","synth_XOE_031","synth_XOE_032","synth_XOE_033","synth_XOE_034","synth_XOE_035","synth_XOE_036","synth_XOE_037","synth_XOE_038","synth_XOE_039","synth_XOE_040","synth_XOE_041","synth_XOE_042","synth_XOE_043","synth_XOE_044","synth_XOE_045","synth_XOE_046","synth_XOE_047","synth_XOE_048","synth_XOE_049","synth_XOE_050","synth_XOE_051","synth_XOE_052","synth_XOE_053","synth_XOE_054","synth_XOE_055","synth_XOE_056","synth_XOE_057","synth_XOE_058","synth_XOE_059","synth_XOE_060","synth_XOE_061","synth_XOE_062","synth_XOE_063","synth_XOE_064","synth_XOE_065","synth_XOE_066","synth_XOE_067","synth_XOE_068","synth_XOE_069","synth_XOE_070","synth_XOE_071","synth_XOE_072","synth_XOE_073","synth_XOE_074","synth_XOE_075","synth_XOE_076","synth_XOE_077","synth_XOE_078","synth_XOE_079","synth_XOE_080","synth_XOE_081","synth_XOE_082","synth_XOE_083","synth_XOE_084","synth_XOE_085","synth_XOE_086","synth_XOE_087","synth_XOE_088","synth_XOE_089","synth_XOE_090","synth_XOE_091","synth_XOE_092","synth_XOE_093","synth_XOE_094","synth_XOE_095","synth_XOE_096","synth_XOE_097","synth_XOE_098","synth_XOE_099","synth_XOE_100"
"cg18478105",0.0192797796132822,0.0184565222007613,0.0151000671305956,0.015961926558035,0.0130084302514171,0.0160535872763711,0.0193439978857889,0.0198239052038636,0.0166645212690173,0.0197002428153651,0.0169493941449074,0.0159478831121632,0.0176056433227043,0.0138678955387174,0.0157177342556432,0.0181785586372012,0.0162421585946742,0.0150498317461509,0.0140061476396501,0.0148598025752178,0.0159506131723188,0.014718114080257,0.0160085802645899,0.0155176056781104,0.0140355049611086,0.0130677386186192,0.0145411682551693,0.0170586879594772,0.0185548961584045,0.0170551266464146,0.0142200644297459,0.0172791562929018,0.0198746290249202,0.0164142947989584,0.0195216173346966,0.0155428001759851,0.0130379256876714,0.0149908240152307,0.0159259973787027,0.0205724759753255,0.0200740592047887,0.0164378382606026,0.0160731946219806,0.0175995396670047,0.0177916627411729,0.0231493823833058,0.0169045625856147,0.023395131311281,0.0162335626626819,0.0244478140826069,0.0154917384883354,0.0138442158706825,0.01337039377991,0.0180942647763144,0.0146723662689962,0.0128355106601643,0.0180798256448248,0.0163144568087784,0.0157104168651208,0.0174645257111926,0.017138373676227,0.0154374068475352,0.0139732986308605,0.0180798256448248,0.0156025799860516,0.0213922795927549,0.0172708410654101,0.0149628259129136,0.0188855726745856,0.0160727771475105,0.0174325477248341,0.0152201436625451,0.0176821193017437,0.0159521236327689,0.0138159969801189,0.0195382329744853,0.018433043814294,0.0137657020617916,0.0159677857263861,0.0197699382944091,0.0227437903797888,0.0227790257443101,0.0306674759649182,0.0165172199938087,0.0144097420657833,0.0137657020617916,0.0159677857263861,0.0259900331519393,0.0185687503656859,0.0207632716879554,0.014243762093379,0.0221105097432282,0.0212160312281009,0.0170050748411325,0.0154190953298425,0.0154957068635307,0.0144062320885689,0.0164142947989584,0.0160923171795488,0.021389204538101
"cg09835024",0.0554673100678077,0.056735487428839,0.0335593354984249,0.0719421549730037,0.031558633510282,0.0660246622267709,0.0317287374304647,0.192133288646143,0.044978130965874,0.0514789453425418,0.104427763210456,0.0313796134920791,0.0390091484388762,0.152432639706769,0.0443536782213402,0.0510541054160745,0.0442934207514878,0.0497027704475392,0.0523599260456543,0.0438796241155955,0.049063497562075,0.0552968921981109,0.033623885899346,0.038651714171565,0.073830205597267,0.0384735007456635,0.033623885899346,0.0995924678568351,0.0469960000918481,0.0442365454189271,0.0701172204798549,0.0422573237846727,0.037782495796054,0.0668191260353408,0.0507455189718284,0.0601172081602314,0.0388321888042758,0.0401455117625633,0.0349403605693284,0.137634640446405,0.0473653772335751,0.0989844884038909,0.0375385411382371,0.0574683799075884,0.0287740742441438,0.0539633328250159,0.0469576413158754,0.053650990238467,0.0507795565180108,0.0455365196536673,0.0903592914540721,0.0259045760252337,0.0478768216454304,0.0593200704896376,0.0706035439390937,0.0444423215458534,0.188334668186441,0.0444284194538332,0.0925201079100743,0.197700273432506,0.0889379834144867,0.039584794446337,0.0295107475458648,0.055065249834426,0.0530497443585691,0.0495744476082282,0.048427746753695,0.0603296089598598,0.0402007576974194,0.0393412167461113,0.034193115011658,0.0388270429193707,0.0287740742441438,0.104166986578439,0.0861798238355008,0.037093685330069,0.0714476925917194,0.0903592914540721,0.042541304846274,0.056735487428839,0.139205367879568,0.0353968965481671,0.0485115929050064,0.0314371833374086,0.055644853188672,0.0434881149268071,0.0435801018236896,0.0406386898453178,0.0543865682464724,0.0410181042588449,0.0275480970105169,0.03066764065817,0.0643995629160573,0.0549068869766806,0.0700934508468034,0.0530677001971026,0.0384735007456635,0.042541304846274,0.0396611029227192,0.03066764065817
"cg14361672",0.848442608549389,0.736511385160331,0.878544629555302,0.879266277370608,0.847367440232512,0.815030053839819,0.787641869240156,0.882443194168428,0.850678852508488,0.873381681943369,0.889790251390568,0.869739125878655,0.859829208681728,0.857519161095758,0.880936738309154,0.846978716313002,0.874062388680527,0.846518406341231,0.890707653941423,0.814874421847682,0.846904818019875,0.872819793130602,0.902433838892387,0.757863494943047,0.856114606399838,0.782235371659265,0.838644292932272,0.861609875192531,0.858653263713308,0.856501753363555,0.886133492029089,0.897414712724439,0.878368387387777,0.829362927691136,0.873624982531016,0.864547419490944,0.671049384039272,0.827573063506698,0.850983758862716,0.890488370626154,0.810298431803147,0.835405604098007,0.85941354031243,0.853462945961455,0.871088647815337,0.86381868969997,0.809262955772625,0.832791752883997,0.860949854531996,0.848148239250487,0.885909610900135,0.838644292932272,0.84388138352741,0.818466861036297,0.866766908310649,0.8288491223322,0.865151956897151,0.830958129430034,0.851484534338547,0.814529817383483,0.836737945120594,0.914812528315953,0.820792940248534,0.838659538609648,0.782223111713826,0.848045170808562,0.878682789492613,0.834710578539156,0.811020452289338,0.844515753926674,0.850061520377182,0.903548145033495,0.816234623882172,0.876590850224665,0.899639558410137,0.867808307523312,0.805218265586256,0.833798708230619,0.840657603361313,0.884468957326837,0.851484534338547,0.855535225245864,0.816298848822232,0.833213707597464,0.797165111644845,0.883656854638006,0.869255220291745,0.84701825030079,0.878368387387777,0.810701394435921,0.827043861600453,0.828353654412255,0.827320046176846,0.890890716544433,0.597242850094492,0.847202410045427,0.832504067603969,0.832922766816333,0.869147949302942,0.860897238628937
"cg01763666",0.915993436651681,0.928516632159771,0.738054451979709,0.900432868812481,0.855398210096935,0.777864181514327,0.718633975293775,0.77232261661866,0.701972126804367,0.764221189717811,0.872986139992697,0.852069318640496,0.706646358289389,0.825465483019834,0.913678457591367,0.78123521853438,0.849009011804591,0.72634851595387,0.637214561533534,0.725128437877577,0.839040748588443,0.83349107062235,0.855491053275929,0.78584577315839,0.882957176187674,0.768400905405163,0.664941434965726,0.750816337544068,0.742497872984765,0.825735417767474,0.768125765858499,0.802693318275337,0.690426060427936,0.880892736396692,0.913465937876712,0.769335396913128,0.792523860923878,0.782965402011869,0.935197820052938,0.787062091282991,0.912847198770216,0.737207695228444,0.838278692293204,0.712498027506359,0.759395142708056,0.786634916134845,0.791114045846541,0.847522749820815,0.896579041166127,0.838278692293204,0.875928254789267,0.861990297296364,0.870859193877651,0.715140616177207,0.912659251002267,0.798927294361459,0.902876232101829,0.860444182359223,0.836555406665501,0.781430120699256,0.772771096517034,0.776280169162675,0.872549027134336,0.866585037866015,0.908116728895469,0.799105190077236,0.702650502077481,0.80972447412653,0.687900568158364,0.896207403100274,0.904188034818781,0.850891962729416,0.829845946616817,0.90141598206451,0.830112121618943,0.864982706832838,0.870965243458292,0.846454600687861,0.776492993052477,0.892836942314294,0.812717059742889,0.843823038381087,0.854705296874437,0.802787007475032,0.725684283034419,0.830698296302343,0.864150708033888,0.888251616444704,0.848364837524183,0.742663321466138,0.861300721457159,0.868177305631856,0.935197820052938,0.810611125461323,0.738642586527871,0.846250218320605,0.781430120699256,0.840135342920041,0.809484032955577,0.904483551567997
"cg12950382",0.801729649008144,0.823514080606543,0.813959532280315,0.764925040468117,0.534315842722817,0.640166341248031,0.562278262773076,0.722002397603159,0.644896411658263,0.471499972989397,0.817026713455491,0.727960756778697,0.693173955712987,0.682930179344292,0.861204021067778,0.826355302452284,0.812133822273938,0.62946868397939,0.741425715853245,0.702532903316661,0.813683775227683,0.652928302049502,0.882846664753242,0.877322027060262,0.666907695063167,0.577106618608468,0.77246302325298,0.859546708660724,0.819074053993669,0.763804289005426,0.683017104500762,0.72436892464068,0.844180316710709,0.514931227696106,0.658567375802827,0.725882492920785,0.875532059675222,0.500960628226619,0.646151398713264,0.790609195767428,0.811136845092514,0.819074053993669,0.73883299168446,0.760970656733043,0.768985935854762,0.708886751916452,0.80472632064067,0.641522985957432,0.76250723932082,0.731305956302997,0.809151680521678,0.894807586162467,0.781989353899788,NA,0.644896411658263,0.724678103051379,0.686258481906694,0.900657984060905,0.742682900901631,0.808199824062335,0.753156404365224,0.755255656613727,0.644896294959448,0.752582949794129,0.648892166520319,0.673275639228061,0.829423342425048,NA,0.721414489555385,0.74576164361304,0.824555662956693,0.754044340574732,0.744689366231675,0.728319394845828,0.679416029849817,0.80767551961681,0.810632403239082,0.765612231735525,0.697978190061723,0.554599580371115,0.859546708660724,0.965611630808892,0.821582913655039,0.845836372355222,0.679707574777878,0.811585535502785,0.708679404305637,0.836856077405851,0.79496500776078,0.830690908056144,0.736076220768951,0.631564991326958,0.686258481906694,0.641293228980503,0.771730106106418,0.635887621860079,0.782336514341258,0.813683775227683,NA,0.814215322716166
"cg02115394",0.0532443679809345,0.0418961235212282,0.0432602258687566,0.0392125045547072,0.0717670736614694,0.0505193612539416,0.0464494441907298,0.0484813387398046,0.0563528118883136,0.040959881434238,0.0580292191950108,0.0495262802515,0.0499790347075876,0.0516232618151181,0.0431337694321768,0.0544821017657309,0.0507374926903981,0.0399448815695387,0.0539558642161692,0.0488292740835367,0.0527707665387124,0.063744583494442,0.038683013139851,0.0534579058402014,0.0733740763335419,0.0397365861318892,0.0529176574255663,0.0469730425401198,0.0498924468517371,0.0441925909807786,0.0449393808453126,0.0484813387398046,0.0503394191503406,0.0465249474980525,0.0486151987469876,0.0591252127278288,0.0455806342572427,0.0475035549770499,0.0377441295482296,0.0471839508687077,0.0511900884874051,0.0629745124954452,0.0717491834199418,0.0588287920711624,0.0672155133779424,0.0536567732539404,0.0542329169580296,0.0384946630031969,0.0469676505506597,0.0541176045822319,0.0592123170209895,0.0328233253387269,0.0574747386458109,0.0489772599940793,0.0543086623136333,0.0475731323630266,0.0475672610080567,0.0482911771114435,0.0420645541178217,0.0595041075783223,0.0657373737539115,0.0556209054444039,0.0447389845889187,0.0546503432827743,0.0577037351835902,0.0518240391449951,0.0629734938003887,0.0388524245015213,0.0358638076933009,0.0572810768945086,0.0439355106371517,0.0430674445606146,0.04744450366174,0.0584360585541246,0.0418123407767815,0.0431143624639733,0.049122856086586,0.0507374926903981,0.0551387900539915,0.0421220450313415,0.0562760030428436,0.0431306183789694,0.0593437731520841,0.0545120778555565,0.0523478718727756,0.0496676020079135,0.0579946261918146,0.0588291495543876,0.0515157948227959,0.0506877495943205,0.0364300088795708,0.0386690485592193,0.0284230646880009,0.0670360113724823,0.0602021454698507,0.0500907631365424,0.0488425214619995,0.0503803935336365,0.0586766849051282,0.0566740162922181
"cg25813447",0.0116262320575657,0.277225577648775,0.0330279178165623,0.2738702949642,0.284980627687911,0.0780270016235192,0.0359878214583759,0.0369944949989618,0.00087915932359362,0.0355838328757539,0.0324513565396135,0.26378076437711,0.270596932242407,0.0310407776817556,0.0366083252067842,0.315023148632201,0.0365730240899535,0.271951646708273,0.34650750996323,0.209991400411784,0.0375230093190121,0.0293187269873711,0.388959792476227,0.0393447417892054,0.342889325223808,0.0370375061302816,0.383066158184792,0.0385934193249211,0.371242036639451,0.0351738587269668,0.365562094125888,0.405340783945833,0.337839147019544,0.0337908844583652,0.252715998691104,0.0416196731456707,0.0290277328820316,0.282525738568923,0.332354567665323,0.0400737763107122,0.0370051593562614,0.037992660176183,0.317045554220483,0.359644512107863,0.0359393123276448,0.0394434334916679,0.0326964207493091,0.0461209309584953,0.0398123232651328,0.0368110493867872,0.327216587893306,0.0310507149535192,0.0341378917086264,0.34527543332027,0.359595704449304,0.317057375802001,0.03719090455427,0.326962354373275,0.414275687244048,0.359644512107863,0.405340783945833,0.0295688260993716,0.0359370768471185,0.037992660176183,0.037072611268287,0.0321811596349749,0.342889325223808,0.0376875408583744,0.0320888817042354,0.0397447219369449,0.0376875408583744,0.310433500537203,0.0387747580448409,0.197186084282924,0.356026406237356,0.0321608119309857,0.0337535265354227,0.343723863153729,0.0333562859463229,0.359644512107863,0.0408343346555573,0.368586007751823,0.244357602331175,0.0168452167170175,0.332232573158435,0.129739720692921,0.0337239187401217,0.340501350592538,0.0379967220190733,0.0168452167170175,0.317219488204107,0.0350624091556431,0.0365607630966518,0.308821882300278,0.0350779272676109,0.331135406916517,0.030810223363322,0.0424948104690106,0.300415085508472,0.0442341205361972
"cg07779434",0.268342612248902,0.0290395911988321,0.0347055111669006,0.0272633339637343,0.033336291149256,0.0373824089905444,0.035500355368556,0.0639105064011841,0.335079202933615,0.0356621754485204,0.355724591895431,0.451127229782949,0.0250607295809795,0.033336291149256,0.453235167533953,0.398084212092125,0.382266610416892,0.467709338961296,0.451130813887115,0.396475237893161,0.453281694046191,0.422004480333745,0.0314499439940295,0.0360961804268984,0.419231615993414,0.031382182112405,0.396475237893161,0.295322760816654,0.369864244403675,0.518054683479705,0.0372955513720219,0.368770132921969,0.0239841095806181,0.471779862476288,0.0484897125832415,0.0272913706288863,0.0388495853764105,0.0312596383805988,0.031628583805096,0.0421404056242848,0.0431172213183691,0.361846608498813,0.0325954628171877,0.0376668342729686,0.401716694098908,0.381829743429546,0.0281847992441322,0.331034685546268,0.0341531472180228,0.440306786704695,0.391100314125549,0.0311999624364886,0.0267071023066263,0.484430333112984,0.0250377895066197,0.0346823006687895,0.026858531842521,0.368499090480933,0.0544527863420112,0.426676191153832,0.0391923637035017,0.370974560809939,0.0302950801901511,0.0337009280520317,0.0391188064034681,0.0428660305360709,0.419369368203345,0.0456014626133266,0.0248292419899185,0.396368768794313,0.0286107977935838,0.484910223035426,0.459373281380174,0.0351400336029415,0.442857006201705,0.318042524334605,0.449848349348905,0.423267095655288,0.35808409193092,0.414253037134787,0.0328249357575169,0.36122526256305,0.0269826847109008,0.505041627548552,0.410494813404498,0.0329696914394764,0.0308661059206025,0.0385725121837713,0.0293197683806632,0.0262944616674766,0.0242830169565705,0.455029415049905,0.387146118241384,0.0293933013549087,0.031679739964629,0.0456014626133266,0.030495631708399,0.315049974437686,0.0422167948632867,0.0372826713091656
"cg13417420",0.0162284458845815,0.0175044049255671,0.017964175435905,0.0192765897221862,0.0194617345338024,0.0178976696507979,0.0214513862106615,0.0200384257885738,0.0198127048440701,0.039390595152945,0.0204562143261483,0.0196100369527491,0.0176841999208525,0.0177866733358661,0.021280664758058,0.019608700059669,0.0193108416657375,0.0238585334222917,0.0175604284872714,0.0168483044341163,0.0170870812041576,0.024220606421189,0.0281404511588599,0.0166032099721869,0.0695695268027741,0.0176050923743224,0.0252082170618554,0.0225498426071076,0.0266403494454907,0.0399937342594827,0.0331655839913585,0.0322940614092711,0.018750359583091,0.0206614926973318,0.0367076195789944,0.0356964561448382,0.0218610589045816,0.0201463445922195,0.0232375939479399,0.0172702624658693,0.0518878386336336,0.0189482382442534,0.0288403888556905,0.0159848180413614,0.0181425091160122,0.0214501812826111,0.0180980425836655,0.0219755917164629,0.0231735336692938,0.0343110290607794,0.0163080037669985,0.0223933951693033,0.024352966435096,0.0162984960737792,0.0160710693981761,0.0181482656837259,0.0532408838127341,0.020550169062036,0.0261374808545023,0.0166037488333164,0.0168044963420988,0.0237718902267104,0.0257695185459485,0.0615488805669835,0.0187337822474328,0.0174914683932516,0.0317927157696823,0.0265078322816856,0.0323009721123337,0.0236601923292211,0.0208117583679237,0.0234919502246036,0.0215473612646302,0.0173002814012466,0.0184711907001087,0.0168711540647585,0.0355849728293995,0.0383088883478338,0.0242305958832172,0.0246334331068206,0.0181934035600363,0.0267381146845168,0.0348207431260123,0.0227983244675897,0.0238585334222917,0.0314890065761743,0.0189067582099446,0.019755967132567,0.0219994195720356,0.0253048974617128,0.0233811946295991,0.0220383637114196,0.0188886207464779,0.035259883291623,0.0194611589876502,0.0166776821114269,0.0263708155415306,0.0173987757329404,0.065360042977125,0.0198127048440701
"cg12480843",0.0380201687512548,0.0342323748165224,0.0343993892025791,0.0304091544309497,0.0251419248741189,0.0244457938762774,0.028748349025662,0.0292690550694743,0.0262881338813353,0.0265055365181158,0.0234706102433361,0.0252320572710018,0.0251773861546329,0.0243570580806487,0.0226967332769845,0.0322637796791542,0.0223528976631296,0.0277130011110427,0.0349944327056585,0.0321522129363528,0.0280365482915461,0.0216065852074004,0.0301627402675262,0.0259325047911222,0.0274418452711468,0.024577903201715,0.0318951203459629,0.0429214776412758,0.02885875392603,0.0263815074964297,0.028837855853802,0.0220284521695314,0.0320209494784469,0.0319466096919032,0.024354365141974,0.0314566291629959,0.0262178904999318,0.0245159487514485,0.0251548590757049,0.027631373736352,0.024354365141974,0.0264634103641043,0.0303402310700704,0.0269587325200851,0.0230902442101061,0.0293987608581355,0.0226967332769845,0.0259059399533063,0.0249047892186914,0.0269869162419082,0.024354365141974,0.0267054118543306,0.025085284975816,0.0298800091478956,0.0364493459718872,0.0389294644030567,0.0300633621693859,0.0296085129638087,0.0264678229210429,0.0249709793331809,0.0302493186423314,0.0277651558202633,0.0429214776412758,0.0239178687082376,0.0252861421927842,0.0284102697062667,0.028910731071871,0.02631221692879,0.0291560729114548,0.026648466373946,0.0254860633134507,0.0251603304610773,0.0292024195219717,0.0346818477279545,0.0252532649440032,0.0235665476068401,0.0242167299901293,0.0255564693713362,0.0277130011110427,0.0201542121895025,0.0289638763067264,0.0359285478175374,0.0225652489541909,0.0289256425913988,0.0281374157646383,0.0283487166041028,0.0286025015969858,0.0336170335269714,0.029030857473873,0.0331498706395758,0.0325419305998023,0.0246850160096312,0.0311479241854285,0.0283124523499033,0.0328557813965935,0.0222661682071425,0.0356360474549656,0.0273399889997351,0.0328256747743602,0.0395754557141046
